Entity,Code,Year,Legal equality index,Primary enrollment,Primary enrollment Year,Secondary enrollment,Secondary enrollment Year,Tertiary enrollment,Tertiary enrollment Year
Liechtenstein,LIE,2025,68.57,102.11014,2021.0,118.72687,2021.0,46.01896,2021.0
Lithuania,LTU,2025,67.73,101.90583,2022.0,106.91836,2022.0,76.91546,2022.0
Luxembourg,LUX,2025,80.8,99.48426,2022.0,107.83976,2022.0,21.0326,2022.0
Madagascar,MDG,2025,40.0,130.59904,2023.0,34.132034,2021.0,6.14666,2023.0
Malawi,MWI,2025,12.09,126.58776,2022.0,35.50849,2022.0,2.7081368,2022.0
Malaysia,MYS,2025,8.21,91.50211,2023.0,79.54137,2023.0,37.274582,2023.0
Maldives,MDV,2025,15.79,100.477974,2023.0,79.35653,2023.0,48.496864,2022.0
Mali,MLI,2025,4.29,72.78364,2023.0,38.93889,2023.0,4.591673,2019.0
Malta,MLT,2025,100.0,97.70784,2023.0,103.02723,2023.0,80.52501,2023.0
Marshall Islands,MHL,2025,56.76,108.97551,2022.0,91.70378,2022.0,41.33504,2022.0
Mauritania,MRT,2025,2.79,104.01507,2023.0,35.99245,2020.0,5.97194,2020.0
Mauritius,MUS,2025,53.9,110.91158,2023.0,89.502,2020.0,44.20268,2022.0
Mexico,MEX,2025,84.63,102.00478,2022.0,98.35766,2022.0,46.40613,2022.0
Micronesia (country),FSM,2025,53.14,82.15476,2023.0,87.25202,2005.0,13.35822,2000.0
Moldova,MDA,2025,63.7,106.97324,2022.0,97.61367,2022.0,68.057236,2022.0
Monaco,MCO,2025,54.6,142.41994,2016.0,153.5863,2016.0,53.5668,2016.0
Mongolia,MNG,2025,63.42,93.06544,2023.0,96.62888,2023.0,67.9414,2023.0
Montenegro,MNE,2025,72.27,106.10962,2023.0,93.8725,2023.0,55.1743,2023.0
Morocco,MAR,2025,7.91,117.59882,2023.0,87.73463,2023.0,47.4687,2023.0
Mozambique,MOZ,2025,48.21,117.774666,2023.0,38.059536,2022.0,7.319125,2019.0
Myanmar,MMR,2025,11.71,120.21457,2018.0,77.01915,2018.0,20.37233,2018.0
Namibia,NAM,2025,51.43,119.54938,2023.0,62.75772,2007.0,26.10946,2022.0
Nauru,NRU,2025,48.44,109.20278,2023.0,90.10025,2023.0,0.0,2008.0
Nepal,NPL,2025,82.58,126.55368,2023.0,89.889885,2023.0,19.03576,2023.0
Netherlands,NLD,2025,90.46,104.21545,2022.0,138.7675,2022.0,89.38986,2021.0
New Zealand,NZL,2025,87.05,96.86705,2023.0,113.39599,2023.0,76.38114,2023.0
Nicaragua,NIC,2025,41.46,109.53639,2023.0,70.17496,2023.0,30.36351,2023.0
Niger,NER,2025,38.97,66.88048,2023.0,21.56051,2023.0,4.5934224,2020.0
Nigeria,NGA,2025,4.6,83.80926,2021.0,45.44494,2021.0,11.34335,2018.0
North Korea,PRK,2025,32.11,92.06484,2018.0,94.25154,2015.0,26.72062,2018.0
North Macedonia,MKD,2025,60.91,97.48666,2022.0,91.45164,2022.0,53.16012,2022.0
Norway,NOR,2025,86.82,98.61044,2023.0,117.77509,2023.0,95.05738,2023.0
Oman,OMN,2025,2.93,90.09681,2022.0,91.97601,2022.0,43.84336,2021.0
Pakistan,PAK,2025,30.93,78.940025,2022.0,40.417767,2022.0,11.2245,2023.0
Palau,PLW,2025,43.75,100.71891,2023.0,97.28601,2023.0,41.130604,2023.0
Panama,PAN,2025,44.0,95.43863,2023.0,80.90696,2023.0,57.81628,2022.0
Papua New Guinea,PNG,2025,21.0,110.1338,2018.0,44.55011,2018.0,1.94981,1999.0
Paraguay,PRY,2025,41.36,91.87964,2023.0,81.31593,2023.0,37.61793,2010.0
Peru,PER,2025,61.0,113.90059,2023.0,111.39539,2023.0,71.24047,2017.0
Philippines,PHL,2025,54.75,92.44621,2023.0,91.54934,2023.0,44.23942,2023.0
Poland,POL,2025,61.36,105.39708,2023.0,108.38613,2023.0,76.87941,2023.0
Portugal,PRT,2025,93.18,109.84613,2022.0,121.97856,2022.0,75.55724,2022.0
Qatar,QAT,2025,4.39,94.98493,2022.0,104.5608,2022.0,35.08549,2022.0
Romania,ROU,2025,55.46,84.94666,2023.0,81.63161,2023.0,55.16829,2023.0
Russia,RUS,2025,31.55,97.7462,2023.0,92.48405,2023.0,93.72777,2023.0
Rwanda,RWA,2025,42.27,151.89482,2023.0,45.12515,2023.0,8.88624,2023.0
Saint Kitts and Nevis,KNA,2025,47.43,121.11875,2023.0,137.51321,2023.0,93.92236,2015.0
Saint Lucia,LCA,2025,29.1,101.37098,2023.0,88.68188,2023.0,15.03964,2023.0
Saint Vincent and the Grenadines,VCT,2025,18.42,111.2707,2023.0,125.381035,2023.0,35.703224,2021.0
Samoa,WSM,2025,21.47,101.61703,2023.0,87.353226,2016.0,14.61066,2023.0
San Marino,SMR,2025,63.64,95.12036,2023.0,60.79404,2023.0,51.13573,2023.0
Sao Tome and Principe,STP,2025,50.0,108.86654,2021.0,87.77723,2021.0,16.494844,2021.0
Saudi Arabia,SAU,2025,2.93,102.70595,2022.0,119.96837,2022.0,73.74921,2022.0
Senegal,SEN,2025,3.24,85.45237,2023.0,44.06737,2023.0,16.07101,2023.0
Serbia,SRB,2025,62.27,98.89898,2022.0,95.08497,2022.0,73.206,2023.0
Seychelles,SYC,2025,51.43,97.13592,2023.0,74.25144,2023.0,14.03414,2023.0
Sierra Leone,SLE,2025,22.44,159.41685,2023.0,73.42514,2021.0,1.98783,2002.0
Singapore,SGP,2025,44.29,89.10651,2023.0,76.27733,2023.0,98.02223,2022.0
Slovakia,SVK,2025,65.8,103.09055,2023.0,92.64368,2023.0,53.41761,2023.0
Slovenia,SVN,2025,83.64,100.8841,2023.0,107.62688,2023.0,80.08069,2023.0
Solomon Islands,SLB,2025,17.65,80.25448,2023.0,49.04985,2012.0,0.0,2009.0
Somalia,SOM,2025,1.0,20.91555,2023.0,3.34785,2023.0,2.41033,1987.0
South Africa,ZAF,2025,83.64,102.40239,2022.0,104.53507,2022.0,23.7271,2022.0
South Korea,KOR,2025,60.0,99.00502,2022.0,97.81813,2022.0,102.81306,2022.0
South Sudan,SSD,2025,6.83,98.96161,2023.0,11.53481,2015.0,1.0478759,2018.0
Spain,ESP,2025,99.86,103.00277,2023.0,118.36171,2023.0,93.73035,2023.0
Sri Lanka,LKA,2025,24.39,91.45114,2023.0,87.95341,2023.0,26.411993,2023.0
Sudan,SDN,2025,5.75,72.39811,2019.0,43.53786,2019.0,15.86457,2015.0
Suriname,SUR,2025,63.08,64.17942,2023.0,76.11092,2023.0,5.7353,2022.0
Sweden,SWE,2025,80.46,115.01952,2023.0,134.2443,2023.0,81.39982,2023.0
Switzerland,CHE,2025,75.91,102.28296,2023.0,102.96559,2023.0,74.00609,2023.0
Syria,SYR,2025,10.24,76.77105,2023.0,39.46721,2023.0,43.76066,2016.0
Taiwan,TWN,2025,72.96,,,,,,
Tajikistan,TJK,2025,35.12,96.97593,2023.0,88.4022,2023.0,34.968964,2023.0
Tanzania,TZA,2025,8.46,95.64098,2023.0,28.23133,2021.0,5.168878,2023.0
Thailand,THA,2025,69.05,103.4899,2023.0,109.85493,2023.0,46.17521,2023.0
Togo,TGO,2025,6.11,116.33547,2023.0,63.41925,2023.0,14.90299,2020.0
Tonga,TON,2025,20.59,102.63694,2023.0,98.55689,2023.0,51.21951,2023.0
Trinidad and Tobago,TTO,2025,27.96,99.18876,2023.0,92.93779,2023.0,11.8308,2004.0
Tunisia,TUN,2025,10.53,104.42422,2023.0,90.32642,2016.0,38.12195,2023.0
Turkey,TUR,2025,35.46,102.4877,2022.0,116.04018,2022.0,127.57797,2022.0
Turkmenistan,TKM,2025,19.87,97.34189,2023.0,102.54675,2023.0,18.80842,2023.0
Tuvalu,TUV,2025,26.52,109.98464,2023.0,99.05063,2023.0,0.0,2023.0
Uganda,UGA,2025,0.56,106.16958,2017.0,24.154776,2017.0,4.8047996,2016.0
Ukraine,UKR,2025,57.27,92.771164,2022.0,84.65163,2021.0,75.90794,2021.0
United Arab Emirates,ARE,2025,0.47,106.25995,2023.0,101.94497,2023.0,61.34561,2023.0
United Kingdom,GBR,2025,81.59,102.53523,2022.0,113.25703,2022.0,79.72507,2022.0
United States,USA,2025,79.63,96.97173,2022.0,97.47349,2022.0,79.36193,2022.0
Uruguay,URY,2025,93.18,102.78917,2023.0,123.416115,2023.0,76.39774,2022.0
Uzbekistan,UZB,2025,23.21,93.48882,2023.0,97.383995,2023.0,45.75918,2023.0
Vanuatu,VUT,2025,42.56,113.170784,2023.0,127.35773,2023.0,4.87792,2004.0
Venezuela,VEN,2025,50.0,111.13041,2023.0,97.22961,2023.0,78.26992,2009.0
Vietnam,VNM,2025,52.27,105.17081,2023.0,93.412346,2022.0,44.753685,2022.0
Yemen,YEM,2025,2.86,76.97538,2016.0,43.69069,2016.0,8.8069,2011.0
Zambia,ZMB,2025,4.88,106.76642,2023.0,20.30261,1994.0,3.9616,2012.0
Zimbabwe,ZWE,2025,17.5,93.23838,2023.0,52.41585,2013.0,10.700362,2020.0
